ID,prompt,image,answer,answer_type,reordered_answer_type,novelty,clarity,relevance,intelligence,empathy,funniness,novelty_GPT4.1,clarity_GPT4.1,relevance_GPT4.1,intelligence_GPT4.1,empathy_GPT4.1,funniness_GPT4.1,novelty_Gemini2.5_pro,clarity_Gemini2.5_pro,relevance_Gemini2.5_pro,intelligence_Gemini2.5_pro,empathy_Gemini2.5_pro,funniness_Gemini2.5_pro,novelty_ClaudeSonnet4,clarity_ClaudeSonnet4,relevance_ClaudeSonnet4,intelligence_ClaudeSonnet4,empathy_ClaudeSonnet4,funniness_ClaudeSonnet4,dataset,prompt_type
1475_1305_RDW,画像で一言,,やっぱり兄ちゃんはスゲェや,Human_mid_tier,Human_lower_tier,2.25,3.0,3.25,1.75,3.0,1.5,1,4,4,1,3,2,1,4,4,0,3,3,1,4,2,0,2,1,Ours,image
1475_1305_RDW,画像で一言,,殖えた結果「こう」らしい,Human_lower_tier,Human_mid_tier,2.75,2.5,2.25,0.75,1.5,1.5,2,4,4,1,2,2,3,4,4,2,1,3,3,2,4,3,2,3,Ours,image
1475_1305_RDW,画像で一言,,呪いのこと忘れて楽しもうな,Human_top_tier,Human_top_tier,2.25,1.25,1.0,0.75,1.25,1.75,2,4,4,1,3,3,3,4,4,1,3,4,3,4,2,1,3,3,Ours,image
1475_1305_RDW,画像で一言,,ふたりとも全く同じタイミングで風を感じている。,GPT4.1_serious,GPT4.1_serious,2.0,2.75,2.5,0.75,2.25,1.75,2,4,4,1,3,3,1,4,4,0,4,2,3,4,4,2,3,3,Ours,image
1475_1305_RDW,画像で一言,,監督「よし、分身の術で数的有利だ！」,GPT4.1_oogiri,GPT4.1_oogiri,1.25,3.5,3.25,1.0,3.0,1.75,2,4,4,1,3,3,1,4,4,0,2,3,3,4,4,2,3,3,Ours,image
1475_1305_RDW,画像で一言,,打楽器の人にも挨拶する,unrelated,unrelated,2.0,1.0,1.25,1.0,0.75,0.5,2,4,2,0,2,2,4,2,2,2,1,3,3,4,4,2,2,3,Ours,image
1475_1305_RDW,画像で一言,,「メガネかけたまま全力疾走してたら、風圧で後ろの人のメガネまで飛んでいきそうになった」,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,2.0,2.5,2.25,1.75,1.75,1.0,3,4,4,1,3,3,3,4,4,2,3,4,2,4,4,1,3,2,Ours,image
1475_1305_RDW,画像で一言,,試合に集中したいのに、後ろの俺の息づかいが気になって仕方ない。,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,2.0,2.25,2.5,1.75,1.75,1.5,2,4,4,1,3,3,3,4,4,2,3,4,2,4,4,1,3,2,Ours,image
4552722,,,だろうねぇ、居残りで朝帰りなんて聞いた事ないよ。,Human_mid_tier,Human_lower_tier,2.75,3.25,3.25,2.0,2.5,2.5,2,4,4,2,3,3,3,4,4,1,3,3,3,4,4,2,3,3,OG,image
4552722,,,ひらがな多いな。,Human_lower_tier,Human_mid_tier,2.75,3.75,3.25,1.75,2.5,2.5,3,4,4,3,3,3,4,4,4,2,3,4,3,4,4,2,3,3,OG,image
4552722,,,0点にもバリエーションがあるのか？,Human_top_tier,Human_top_tier,2.75,3.75,3.75,3.5,3.5,3.5,4,4,4,2,4,4,3,4,4,3,2,4,3,4,4,2,3,3,OG,image
4552722,,,ついに名前を書く欄も間違えたのかい？,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,1.75,3.75,4.0,1.5,3.0,2.5,3,4,4,2,3,3,2,4,4,0,4,3,3,4,4,2,3,3,OG,image
4552722,,,つ_まらないものですが,unrelated,unrelated,2.5,0.5,0.25,0.5,0.25,0.25,3,4,2,2,2,3,3,4,4,3,2,4,3,4,4,3,3,3,OG,image
4552722,,,「テストの点数、せいぜいきょうはひどく悪かったんだ。」と言いながら100点満点を隠すのび太,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,1.75,2.0,1.75,1.0,0.25,0.75,2,4,4,2,2,2,2,4,4,0,2,3,3,4,4,2,3,3,OG,image
4552722,,,どうしてうまくいかなかったのか、一緒に原因を考えてみよう。,GPT4.1_serious,GPT4.1_serious,1.25,3.5,3.25,2.75,2.25,1.5,2,4,4,3,4,2,0,4,4,3,4,0,1,4,4,2,3,2,OG,image
4552722,,,ドラえもん「ついに0点の上、名前も書き忘れたんだね…」,GPT4.1_oogiri,GPT4.1_oogiri,2.75,3.5,3.75,2.0,3.0,2.75,2,4,4,2,4,2,2,4,4,0,4,3,2,4,4,1,3,2,OG,image
1555_5152_ORK,画像で一言,,悪人ははじめて？,Human_mid_tier,Human_lower_tier,2.25,0.75,0.75,0.75,0.75,1.0,2,4,4,1,2,2,3,4,4,2,2,3,2,4,4,2,2,2,Ours,image
1555_5152_ORK,画像で一言,,残念、この部屋も僕でした,Human_top_tier,Human_mid_tier,3.0,3.0,2.5,2.25,2.25,2.25,2,4,4,1,2,2,2,4,4,0,2,3,3,4,4,2,3,3,Ours,image
1555_5152_ORK,画像で一言,,ウルトラの母のコスプレ途中にすみませーん,Human_lower_tier,Human_top_tier,2.75,2.5,2.5,1.0,2.25,2.5,2,4,4,1,2,2,3,4,4,2,3,3,3,4,4,2,3,3,Ours,image
1555_5152_ORK,画像で一言,,何チキ頼んでもいい,unrelated,unrelated,3.25,0.25,0.0,0.25,0.25,0.0,2,4,4,0,2,2,3,4,4,1,2,3,3,4,4,1,3,3,Ours,image
1555_5152_ORK,画像で一言,,「保健室の先生、絆創膏がおでこに貼りっぱなしですよ」,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,3.0,0.25,0.75,0.75,0.25,0.5,2,4,4,1,3,2,3,4,2,0,1,3,2,4,4,1,3,2,Ours,image
1555_5152_ORK,画像で一言,,…で、誰が言い出しっぺ？,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,1.75,2.25,2.25,1.5,2.25,1.5,2,4,4,1,4,3,2,4,4,0,4,3,2,4,4,2,3,2,Ours,image
1555_5152_ORK,画像で一言,,集合住宅の火災訓練についての説明を始めようとしている。,GPT4.1_serious,GPT4.1_serious,1.5,2.25,2.75,2.0,2.0,1.0,2,4,4,2,2,2,2,4,4,1,3,2,1,4,3,1,2,1,Ours,image
1555_5152_ORK,画像で一言,,「あんたたち、配達ピザ頼んだの、13年前だよ？」,GPT4.1_oogiri,GPT4.1_oogiri,1.5,1.5,1.75,1.75,1.25,1.0,3,4,4,2,3,3,3,4,4,0,1,3,3,4,4,2,3,3,Ours,image
3113019,,,タマホーム,Human_mid_tier,Human_lower_tier,2.5,4.0,3.5,2.0,3.0,3.0,2,4,2,0,2,2,3,4,4,2,3,4,3,4,4,2,3,3,OG,image
3113019,,,幻覚に悩まされる波平,Human_lower_tier,Human_mid_tier,1.75,4.0,3.25,1.75,3.75,3.0,2,4,4,1,2,2,2,4,4,2,2,3,3,4,4,2,1,2,OG,image
3113019,,,10連ガチャ爆死,Human_top_tier,Human_top_tier,3.0,4.0,3.25,1.0,2.75,3.25,2,4,4,2,4,3,2,4,4,0,4,4,3,4,4,2,4,3,OG,image
3113019,,,「猫又養成所の卒業試験は『人間のおじいさんを1匹だけ化かすこと』ですが、全員で取り囲んでしまい既に0点です」,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,2.0,0.5,2.25,1.25,1.0,1.0,4,4,4,2,2,4,3,4,4,3,3,4,3,4,4,3,3,3,OG,image
3113019,,,たくさんの猫にごはんを与えるため、人数分のエサが足りるか心配している。,GPT4.1_serious,GPT4.1_serious,1.0,3.5,3.75,1.25,2.0,0.5,1,4,4,1,3,2,0,4,4,0,3,1,1,4,4,1,3,1,OG,image
3113019,,,「すみません、どのネコが本当のドラえもんか教えてもらえませんか？」,GPT4.1_oogiri,GPT4.1_oogiri,2.25,2.0,1.75,1.0,1.25,2.0,2,4,4,2,2,2,2,4,4,0,3,3,3,4,4,2,3,3,OG,image
3113019,,,猫の手も借りたいとは言ったが、ここまでとは聞いてない。,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,2.5,3.75,3.5,1.75,3.0,3.25,2,4,4,2,4,3,2,4,4,2,4,3,1,4,4,2,3,2,OG,image
3113019,,,あまり知られていないが、実は南都水鳥拳レイの師匠はこの方である,unrelated,unrelated,2.0,0.75,0.5,1.0,0.25,0.25,3,3,4,3,2,3,3,4,4,3,2,4,3,2,4,3,2,3,OG,image
0133_8373_SSI,釣りのバトル漫画にありそうな展開,,相手のルアーを根がかりさせる違法ルアーを使った悪役,Human_lower_tier,Human_lower_tier,1.75,1.5,3.5,2.25,2.0,1.0,2,4,4,2,2,2,2,4,4,0,4,3,3,4,4,2,3,3,Ours,text
0133_8373_SSI,釣りのバトル漫画にありそうな展開,,今だ！俺ごと釣れっ！！,Human_top_tier,Human_mid_tier,1.75,3.0,2.75,1.5,2.0,1.75,2,4,4,0,2,2,3,4,4,0,4,4,3,4,4,2,3,3,Ours,text
0133_8373_SSI,釣りのバトル漫画にありそうな展開,,釣竿が龍に見えてくる,Human_mid_tier,Human_top_tier,1.5,2.75,3.0,1.5,2.75,2.0,2,4,4,2,2,2,2,4,4,0,4,3,3,4,4,2,3,3,Ours,text
0133_8373_SSI,釣りのバトル漫画にありそうな展開,,「金持ってそう」という理由で職質されて、ちょっと嬉しい,unrelated,unrelated,2.5,0.25,0.25,0.75,0.0,0.25,3,4,2,1,3,3,4,4,3,2,4,4,1,1,0,0,2,1,Ours,text
0133_8373_SSI,釣りのバトル漫画にありそうな展開,,「この釣り竿は代々我が家に伝わる秘伝の竹竿...まだ本気を出していない」と言いながらリールを外して素手で糸を操り始める,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,1.75,2.0,3.0,1.5,1.5,1.25,3,4,4,2,3,3,3,4,4,1,3,4,3,4,4,2,3,3,Ours,text
0133_8373_SSI,釣りのバトル漫画にありそうな展開,,針にかかった魚が「くっ…殺せ…！」と潔く負けを認める。,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,1.5,3.5,3.5,2.0,3.0,1.75,3,4,4,2,2,3,2,4,4,0,2,3,3,4,4,2,3,3,Ours,text
0133_8373_SSI,釣りのバトル漫画にありそうな展開,,主人公が新しい釣り竿の性能を確かめるため、まずは近所の池で静かに実験を行う。,GPT4.1_serious,GPT4.1_serious,2.25,3.25,3.5,1.75,2.0,1.75,1,4,4,2,2,1,2,4,4,1,4,2,1,4,2,1,3,1,Ours,text
0133_8373_SSI,釣りのバトル漫画にありそうな展開,,「伝説のエサ“黄金のサシ虫”を手に入れるため、主人公がまず虫嫌いを克服するエピソードが2巻も続く。」,GPT4.1_oogiri,GPT4.1_oogiri,2.5,3.0,3.0,2.75,3.25,2.5,3,4,4,2,3,3,3,4,4,0,3,3,3,4,4,2,3,3,Ours,text
1618_7108_GGI,ダサい音楽室,,肖像画の音楽家たちがカツラを被っておらず自前の髪型で写ってる,Human_lower_tier,Human_lower_tier,1.5,3.0,3.0,0.75,2.0,1.25,3,4,4,2,3,3,3,4,4,4,3,3,3,4,4,3,3,3,Ours,text
1618_7108_GGI,ダサい音楽室,,ピアノの足に長いソックス履かれている,Human_mid_tier,Human_mid_tier,1.75,3.25,3.25,2.0,2.5,1.75,2,4,4,1,3,2,3,4,4,0,3,3,3,4,4,1,3,3,Ours,text
1618_7108_GGI,ダサい音楽室,,張り紙に「一唱懸命」と書かれている,Human_top_tier,Human_top_tier,2.25,3.0,3.75,2.75,2.75,2.25,2,4,4,2,3,2,2,4,4,0,4,3,3,4,4,3,3,3,Ours,text
1618_7108_GGI,ダサい音楽室,,譜面台に「楽譜忘れたら怒ります」と手書きの貼り紙がしてある。,GPT4.1_serious,GPT4.1_serious,2.25,0.75,1.25,0.75,0.75,0.75,2,4,4,1,4,2,2,4,4,0,4,3,2,4,4,1,3,2,Ours,text
1618_7108_GGI,ダサい音楽室,,指揮棒が、セルフ撮影用の自撮り棒。,GPT4.1_oogiri,GPT4.1_oogiri,2.5,3.25,3.0,1.75,2.0,1.75,3,4,4,2,2,3,3,4,4,0,4,3,3,4,4,2,3,3,Ours,text
1618_7108_GGI,ダサい音楽室,,カルガモぐらいならアクセルを踏む,unrelated,unrelated,2.5,0.25,0.0,0.75,0.0,0.25,4,1,1,1,0,2,4,3,2,0,0,4,4,0,0,1,0,1,Ours,text
1618_7108_GGI,ダサい音楽室,,指揮棒の代わりに菜箸を振っている,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,3.0,3.5,2.75,2.0,2.5,1.75,2,4,4,1,3,2,2,4,4,0,3,3,2,4,4,1,3,2,Ours,text
1618_7108_GGI,ダサい音楽室,,グランドピアノの屋根を開けると、物置になっていて卒業アルバムとかが入ってる。,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,2.25,2.5,2.0,1.25,1.25,1.25,3,4,4,2,3,3,2,4,4,0,4,3,3,4,4,2,3,3,Ours,text
0943_9705_AXY,画像で一言,,ええ、復讐です,Human_mid_tier,Human_lower_tier,3.0,1.75,1.75,1.25,1.75,1.25,3,4,4,2,2,3,3,4,4,2,2,4,3,4,4,2,3,3,Ours,image
0943_9705_AXY,画像で一言,,テレンス・リーちゃうわ,Human_lower_tier,Human_mid_tier,2.25,2.75,2.25,2.0,2.5,2.0,2,4,3,1,3,3,2,4,4,1,3,3,3,2,4,1,2,2,Ours,image
0943_9705_AXY,画像で一言,,お前がすごいって言えば終わるのに,Human_top_tier,Human_top_tier,2.5,3.0,2.75,1.75,2.25,2.25,2,4,4,1,3,3,3,4,4,2,4,4,3,4,4,2,3,3,Ours,image
0943_9705_AXY,画像で一言,,スプーンの整理整頓は計画的に。,GPT4.1_serious,GPT4.1_serious,2.25,3.5,3.25,1.75,2.75,2.75,2,4,4,2,2,2,2,4,4,1,2,2,3,4,4,2,3,3,Ours,image
0943_9705_AXY,画像で一言,,「ギャル曽根の家にお邪魔した結果、スプーンがこうなりました。」,GPT4.1_oogiri,GPT4.1_oogiri,2.25,1.75,2.0,0.75,1.75,1.0,2,4,4,1,3,3,4,4,4,3,2,4,3,4,4,1,3,3,Ours,image
0943_9705_AXY,画像で一言,,だんだん強く、の意,unrelated,unrelated,2.0,1.25,1.5,2.75,1.5,1.75,2,4,4,1,3,3,4,4,4,3,2,4,3,2,4,3,2,3,Ours,image
0943_9705_AXY,画像で一言,,「スプーンだけで1000万円稼いだ男の成功の秘訣、教えます」,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,2.0,3.0,3.25,1.75,2.0,1.75,2,4,4,1,2,2,3,4,4,2,3,3,3,4,4,2,3,3,Ours,image
0943_9705_AXY,画像で一言,,スプーン磨き終わったぞー！誰か褒めてー！,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,1.5,2.0,2.75,1.25,1.5,1.0,2,4,4,0,2,2,2,4,4,0,4,3,1,4,4,0,3,2,Ours,image
6791241,昔話を途中で終わらせてください,,乙姫様のご馳走に鯛やヒラメのはい終わり,Human_mid_tier,Human_lower_tier,1.25,2.25,3.25,0.75,1.0,0.75,2,4,4,1,2,2,2,4,4,0,0,2,3,4,4,2,3,3,OG,text
6791241,昔話を途中で終わらせてください,,昔々。,Human_lower_tier,Human_mid_tier,1.5,2.25,2.0,1.5,1.5,1.0,2,4,4,1,2,2,0,4,4,0,1,3,3,4,4,3,3,3,OG,text
6791241,昔話を途中で終わらせてください,,ああ私もあんな風に綺麗なドレスを着て、舞踏会に行きたいな、そう思っていたときに出会ったのが、この龍脈パワーストーンでした,Human_top_tier,Human_top_tier,2.0,2.75,2.5,2.0,2.25,2.25,3,4,4,2,2,3,3,4,4,0,1,4,4,4,4,3,3,4,OG,text
6791241,昔話を途中で終わらせてください,,うまい珍棒,unrelated,unrelated,3.75,1.0,1.0,0.5,1.25,1.25,1,1,2,0,0,0,3,2,2,0,0,2,3,1,1,2,1,2,OG,text
6791241,昔話を途中で終わらせてください,,「むかしむかし、あるところにおじいさんとおばあさんが住んでいました。おじいさんは山へ芝刈りに、おばあさんは川へ洗濯に行きました。すると川の上流から大きな桃がどんぶらこどんぶらこと流れてきて...あ、,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,0.25,2.75,3.5,1.75,1.75,0.75,2,4,4,1,3,2,0,4,4,0,2,2,1,4,4,1,3,2,OG,text
6791241,昔話を途中で終わらせてください,,桃太郎が犬、猿、キジと一緒に鬼ヶ島へ向かうところで話は終わります。,GPT4.1_serious,GPT4.1_serious,1.0,1.75,3.5,1.0,1.5,1.75,1,4,4,1,2,1,0,4,4,0,1,0,1,4,4,1,2,1,OG,text
6791241,昔話を途中で終わらせてください,,桃太郎が家来たちと鬼ヶ島に着いたところで、鬼たちがZoomで会議中だったので、入室パスワードがわからず……,GPT4.1_oogiri,GPT4.1_oogiri,3.0,2.25,3.25,1.75,1.5,1.75,3,4,4,3,3,3,3,4,4,1,3,3,4,4,4,3,4,4,OG,text
6791241,昔話を途中で終わらせてください,,お爺さんがこっそり部屋を覗くと、鶴はヨガマットを敷いてオンラインヨガレッスンを受けていた。,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,3.0,3.5,3.75,2.25,2.5,2.0,3,4,4,2,2,3,3,4,4,2,2,3,4,4,4,3,3,4,OG,text
3858_4840_UFP,台風が来たのに強行した運動会,,優勝旗でしたと言われ棒を渡される,Human_top_tier,Human_lower_tier,2.0,3.0,3.5,1.5,2.5,1.75,2,4,4,2,3,3,3,4,4,0,2,3,3,4,4,2,3,3,Ours,text
3858_4840_UFP,台風が来たのに強行した運動会,,リレーで学校新記録が出る。,Human_lower_tier,Human_mid_tier,2.25,3.0,3.5,2.25,2.75,1.75,2,4,4,1,3,2,1,4,4,0,2,3,3,4,4,2,3,3,Ours,text
3858_4840_UFP,台風が来たのに強行した運動会,,棒倒しが棒起こしに変更された,Human_mid_tier,Human_top_tier,3.25,3.5,3.75,2.75,3.5,3.25,3,4,4,2,3,3,3,4,4,1,3,4,3,4,4,2,3,3,Ours,text
3858_4840_UFP,台風が来たのに強行した運動会,,徒競走、風速40mで全員一等賞。,GPT4.1_oogiri,GPT4.1_oogiri,2.0,3.25,3.5,1.25,2.75,2.0,2,4,4,1,3,3,2,4,4,0,2,3,3,4,4,2,3,3,Ours,text
3858_4840_UFP,台風が来たのに強行した運動会,,役所まで寄り切る,unrelated,unrelated,1.75,0.5,0.25,0.75,0.75,0.5,2,3,4,2,2,2,4,3,4,2,1,4,4,3,4,3,2,4,Ours,text
3858_4840_UFP,台風が来たのに強行した運動会,,台風の目でやったから半径20kmの円形トラックになった,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,2.25,1.5,2.5,1.75,1.0,0.5,3,4,4,3,2,3,3,4,4,3,1,4,4,4,4,3,2,4,Ours,text
3858_4840_UFP,台風が来たのに強行した運動会,,プログラム一番「人間凧揚げ」,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,2.5,3.0,3.25,2.25,2.5,2.75,3,4,4,1,2,3,3,4,4,0,2,4,4,4,4,2,3,4,Ours,text
3858_4840_UFP,台風が来たのに強行した運動会,,安全確保のため、生徒全員にヘルメットとカッパを着用させ、競技ごとに避難指示を出しつつ、プログラムを短縮して実施しました。,GPT4.1_serious,GPT4.1_serious,2.5,2.25,3.25,2.5,1.25,1.0,1,4,4,2,3,1,0,4,4,1,1,0,1,4,4,1,2,1,Ours,text
3033177,,,被害者ぶってもいませんし、コメント欄は評価する場ですから節度を守れば思ったことを言っても良いかと思いますが…,Human_mid_tier,Human_lower_tier,1.75,2.25,1.25,2.5,1.25,1.5,2,4,3,3,3,2,3,4,4,2,3,3,0,0,0,0,0,0,OG,image
3033177,,,ここはマイケルジョーダンで通るんだよ,Human_lower_tier,Human_mid_tier,2.25,1.25,1.0,0.5,1.25,1.5,2,4,2,0,2,2,3,4,4,3,2,3,1,2,1,1,1,1,OG,image
3033177,,,3年間補欠だったトーマスが最後の試合に行く途中立ち寄ったガソリンスタンドで言った言葉「レギュラーで」が深い,Human_top_tier,Human_top_tier,3.5,3.75,3.5,3.75,3.5,3.5,4,4,4,2,4,4,2,4,4,3,4,3,4,4,4,4,4,4,OG,image
3033177,,,非難じゃなくて避難しろっつーのww,unrelated,unrelated,2.25,1.5,1.5,1.75,1.75,1.5,2,4,3,1,3,3,1,4,3,1,2,2,3,4,4,2,3,3,OG,image
3033177,,,「運転免許の写真撮影で『自然な笑顔でお願いします』って言われた時の顔」,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,2.25,3.25,3.25,1.75,2.75,2.5,2,4,4,1,4,3,1,4,4,0,4,3,2,4,4,1,4,3,OG,image
3033177,,,車に乗っている男性が、誰かの話を注意深く聞いている様子です。,GPT4.1_serious,GPT4.1_serious,0.75,2.25,2.75,1.0,2.25,0.0,0,4,4,0,2,0,0,4,4,0,2,0,0,4,0,0,0,0,OG,image
3033177,,,「昨日免許取ったんですけど、今日車の説明書読み始めたところです。」,GPT4.1_oogiri,GPT4.1_oogiri,2.75,2.25,2.5,2.0,2.0,2.5,2,4,4,1,3,3,2,4,4,0,4,3,2,4,4,1,3,2,OG,image
3033177,,,「目的地まであと５分です」ってナビが言ってるけど、どう見てもあと30分はかかる景色。,Gemini2.5_pro_oogiri,Gemini2.5_pro_oogiri,2.25,3.5,3.75,1.5,2.75,2.75,2,4,4,0,4,3,1,4,4,0,4,3,2,4,4,1,4,3,OG,image
4034652,そこそこのうそをついてください,,流行語大賞「やだねー」,Human_lower_tier,Human_lower_tier,3.0,1.0,1.5,1.25,1.5,0.5,2,4,4,1,3,2,3,4,4,2,4,4,3,4,4,2,3,3,OG,text
4034652,そこそこのうそをついてください,,INAXの社長とTOTOの社長は兄弟つなげてひっくり返すとOTOTxANIとなる,Human_top_tier,Human_mid_tier,3.5,2.0,2.5,2.25,2.25,2.25,3,2,3,3,2,3,3,3,4,3,2,4,4,2,4,3,2,3,OG,text
4034652,そこそこのうそをついてください,,平成　延期するってさ,Human_mid_tier,Human_top_tier,2.0,3.25,2.25,2.25,2.75,2.75,2,4,4,2,2,2,3,4,4,2,3,4,3,4,4,2,3,3,OG,text
4034652,そこそこのうそをついてください,,昨日コンビニで買い物したら、店員さんが「ありがとうございました」って言ってくれて、僕も「ありがとうございました」って返したんだけど、実は心の中では「どういたしまして」って思ってた。,ClaudeSonnet4_oogiri,ClaudeSonnet4_oogiri,3.0,1.25,1.5,2.0,1.0,1.75,2,4,4,2,4,2,2,4,4,1,4,3,3,4,4,2,3,3,OG,text
